task,metric,folder,family,score,percentile
leaderboard_bbh_boolean_expressions,"acc_norm,none",AbacusResearch_Jallabi-34B,bbh,0.836,0.6827956989247311
leaderboard_bbh_boolean_expressions,"acc_norm,none",abideen_MedPhi-4-14B-v1,bbh,0.928,0.9825268817204301
leaderboard_bbh_boolean_expressions,"acc_norm,none",AELLM_gemma-2-aeria-infinity-9b,bbh,0.852,0.7862903225806451
leaderboard_bbh_boolean_expressions,"acc_norm,none",AELLM_gemma-2-lyco-infinity-9b,bbh,0.828,0.6349462365591397
leaderboard_bbh_boolean_expressions,"acc_norm,none",agentlans_Llama3.1-8B-drill,bbh,0.824,0.614516129032258
leaderboard_bbh_boolean_expressions,"acc_norm,none",agentlans_Llama3.1-Daredevilish,bbh,0.824,0.614516129032258
leaderboard_bbh_boolean_expressions,"acc_norm,none",agentlans_Qwen2.5-0.5B-Instruct-CrashCourse-dropout,bbh,0.624,0.1454301075268817
leaderboard_bbh_boolean_expressions,"acc_norm,none",AGI-0_Art-v0-3B,bbh,0.736,0.25591397849462366
leaderboard_bbh_boolean_expressions,"acc_norm,none",AGI-0_Artificium-llama3.1-8B-001,bbh,0.736,0.25591397849462366
leaderboard_bbh_boolean_expressions,"acc_norm,none",AGI-0_smartllama3.1-8B-001,bbh,0.784,0.43091397849462365
leaderboard_bbh_boolean_expressions,"acc_norm,none",Ahdoot_StructuredThinker-v0.3-MoreStructure,bbh,0.812,0.564247311827957
leaderboard_bbh_boolean_expressions,"acc_norm,none",Ahdoot_Test_StealthThinker,bbh,0.808,0.5424731182795699
leaderboard_bbh_boolean_expressions,"acc_norm,none",AI-MO_NuminaMath-7B-CoT,bbh,0.804,0.5201612903225806
leaderboard_bbh_boolean_expressions,"acc_norm,none",AI-MO_NuminaMath-7B-TIR,bbh,0.776,0.39543010752688174
leaderboard_bbh_boolean_expressions,"acc_norm,none",AI-Sweden-Models_gpt-sw3-40b,bbh,0.552,0.1174731182795699
leaderboard_bbh_boolean_expressions,"acc_norm,none",AI-Sweden-Models_Llama-3-8B-instruct,bbh,0.636,0.15161290322580645
leaderboard_bbh_boolean_expressions,"acc_norm,none",AI4free_Dhanishtha,bbh,0.468,0.06989247311827956
leaderboard_bbh_boolean_expressions,"acc_norm,none",AI4free_t2,bbh,0.464,0.06559139784946237
leaderboard_bbh_boolean_expressions,"acc_norm,none",AicoresSecurity_Cybernet-Sec-3B-R1-V0,bbh,0.776,0.39543010752688174
leaderboard_bbh_boolean_expressions,"acc_norm,none",AicoresSecurity_Cybernet-Sec-3B-R1-V0-Coder,bbh,0.776,0.39543010752688174
leaderboard_bbh_boolean_expressions,"acc_norm,none",AicoresSecurity_Cybernet-Sec-3B-R1-V1,bbh,0.776,0.39543010752688174
leaderboard_bbh_boolean_expressions,"acc_norm,none",AicoresSecurity_Cybernet-Sec-3B-R1-V1.1,bbh,0.78,0.4112903225806452
leaderboard_bbh_boolean_expressions,"acc_norm,none",AIDC-AI_Marco-o1,bbh,0.816,0.5825268817204301
leaderboard_bbh_boolean_expressions,"acc_norm,none",akhadangi_Llama3.2.1B.0.01-First,bbh,0.532,0.10349462365591398
leaderboard_bbh_boolean_expressions,"acc_norm,none",akhadangi_Llama3.2.1B.0.1-First,bbh,0.572,0.125
leaderboard_bbh_boolean_expressions,"acc_norm,none",akhadangi_Llama3.2.1B.BaseFiT,bbh,0.56,0.11908602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",Alepach_notHumpback-M0,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",Alepach_notHumpback-M1,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",Alepach_notHumpback-M1-v2,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",Alibaba-NLP_gte-Qwen2-7B-instruct,bbh,0.732,0.24596774193548387
leaderboard_bbh_boolean_expressions,"acc_norm,none",allenai_Llama-3.1-Tulu-3-70B,bbh,0.868,0.8561827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",allenai_Llama-3.1-Tulu-3-8B-DPO,bbh,0.804,0.5201612903225806
leaderboard_bbh_boolean_expressions,"acc_norm,none",allenai_Llama-3.1-Tulu-3-8B-RM,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",allenai_Llama-3.1-Tulu-3-8B-SFT,bbh,0.596,0.13225806451612904
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Gemma2Slerp1-2.6B,bbh,0.712,0.2075268817204301
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Gemma2Slerp1-27B,bbh,0.892,0.9233870967741935
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Gemma2Slerp2-27B,bbh,0.892,0.9233870967741935
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Gemma2Slerp4-27B,bbh,0.892,0.9233870967741935
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_GemmaSlerp5-10B,bbh,0.832,0.657258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_GemmaStock1-27B,bbh,0.892,0.9233870967741935
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Llama3.1-60B,bbh,0.748,0.3024193548387097
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Mistralmash2-7B-s,bbh,0.804,0.5201612903225806
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_MistralPhi3-11B,bbh,0.828,0.6349462365591397
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Phi3mash1-17B-pass,bbh,0.788,0.45403225806451614
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Qwen2.5-42B-AGI,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Qwen2.5-7B-task3,bbh,0.776,0.39543010752688174
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Qwen2.5-7B-task4,bbh,0.844,0.7311827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_QwenSlerp12-7B,bbh,0.84,0.707258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Qwenslerp3-14B,bbh,0.86,0.831989247311828
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Qwenslerp3-7B,bbh,0.852,0.7862903225806451
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_QwenSlerp4-14B,bbh,0.884,0.9091397849462366
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_QwenSlerp6-14B,bbh,0.884,0.9091397849462366
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_QwenStock1-14B,bbh,0.868,0.8561827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_QwenStock2-14B,bbh,0.868,0.8561827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_ROGERphi-7B-slerp,bbh,0.772,0.37849462365591396
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Rombos-LLM-V2.5-Qwen-42b,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Yi-1.5-34B,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Yislerp-34B,bbh,0.932,0.9879032258064516
leaderboard_bbh_boolean_expressions,"acc_norm,none",allknowingroger_Yislerp2-34B,bbh,0.928,0.9825268817204301
leaderboard_bbh_boolean_expressions,"acc_norm,none",allura-org_Mistral-Small-24b-Sertraline-0304,bbh,0.872,0.8696236559139785
leaderboard_bbh_boolean_expressions,"acc_norm,none",Alsebay_Qwen2.5-7B-test-novelist,bbh,0.776,0.39543010752688174
leaderboard_bbh_boolean_expressions,"acc_norm,none",Amaorynho_BBAI2006,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",Amaorynho_BBAI270V4,bbh,0.488,0.08118279569892473
leaderboard_bbh_boolean_expressions,"acc_norm,none",Amaorynho_BBAIIFEV1,bbh,0.844,0.7311827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",Amaorynho_BBAI_375,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",amazon_MegaBeam-Mistral-7B-300k,bbh,0.752,0.31747311827956987
leaderboard_bbh_boolean_expressions,"acc_norm,none",Amu_t1-1.5B,bbh,0.8,0.5037634408602151
leaderboard_bbh_boolean_expressions,"acc_norm,none",Amu_t1-3B,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",anakin87_gemma-2b-orpo,bbh,0.708,0.20026881720430106
leaderboard_bbh_boolean_expressions,"acc_norm,none",arcee-ai_Llama-3.1-SuperNova-Lite,bbh,0.844,0.7311827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",ArliAI_ArliAI-RPMax-12B-v1.1,bbh,0.82,0.5983870967741935
leaderboard_bbh_boolean_expressions,"acc_norm,none",ArliAI_Llama-3.1-8B-ArliAI-RPMax-v1.1,bbh,0.836,0.6827956989247311
leaderboard_bbh_boolean_expressions,"acc_norm,none",Arthur-LAGACHERIE_Precis-1B-Instruct,bbh,0.748,0.3024193548387097
leaderboard_bbh_boolean_expressions,"acc_norm,none",Artples_L-MChat-7b,bbh,0.736,0.25591397849462366
leaderboard_bbh_boolean_expressions,"acc_norm,none",Artples_L-MChat-Small,bbh,0.796,0.4889784946236559
leaderboard_bbh_boolean_expressions,"acc_norm,none",Aryanne_QwentileSwap,bbh,0.936,0.9919354838709677
leaderboard_bbh_boolean_expressions,"acc_norm,none",Aryanne_SHBA,bbh,0.828,0.6349462365591397
leaderboard_bbh_boolean_expressions,"acc_norm,none",Aryanne_SuperHeart,bbh,0.824,0.614516129032258
leaderboard_bbh_boolean_expressions,"acc_norm,none",asharsha30_LLAMA_Harsha_8_B_ORDP_10k,bbh,0.684,0.18306451612903227
leaderboard_bbh_boolean_expressions,"acc_norm,none",AtAndDev_Qwen2.5-1.5B-continuous-learnt,bbh,0.828,0.6349462365591397
leaderboard_bbh_boolean_expressions,"acc_norm,none",Ateron_Glowing-Forest-12B,bbh,0.876,0.8841397849462366
leaderboard_bbh_boolean_expressions,"acc_norm,none",Ateron_Lotus-Magpic,bbh,0.836,0.6827956989247311
leaderboard_bbh_boolean_expressions,"acc_norm,none",Ateron_Way_of_MagPicaro,bbh,0.848,0.7596774193548387
leaderboard_bbh_boolean_expressions,"acc_norm,none",AuraIndustries_Aura-4B,bbh,0.696,0.1932795698924731
leaderboard_bbh_boolean_expressions,"acc_norm,none",AuraIndustries_Aura-8B,bbh,0.828,0.6349462365591397
leaderboard_bbh_boolean_expressions,"acc_norm,none",AuraIndustries_Aura-MoE-2x4B,bbh,0.744,0.28440860215053765
leaderboard_bbh_boolean_expressions,"acc_norm,none",AuraIndustries_Aura-MoE-2x4B-v2,bbh,0.748,0.3024193548387097
leaderboard_bbh_boolean_expressions,"acc_norm,none",Aurel9_testmerge-7b,bbh,0.772,0.37849462365591396
leaderboard_bbh_boolean_expressions,"acc_norm,none",awnr_Mistral-7B-v0.1-signtensors-1-over-4,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",axolotl-ai-co_romulus-mistral-nemo-12b-simpo,bbh,0.852,0.7862903225806451
leaderboard_bbh_boolean_expressions,"acc_norm,none",Ayush-Singh_Llama1B-sft-2,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",Azure99_blossom-v5-32b,bbh,0.78,0.4112903225806452
leaderboard_bbh_boolean_expressions,"acc_norm,none",Azure99_blossom-v5-llama3-8b,bbh,0.74,0.267741935483871
leaderboard_bbh_boolean_expressions,"acc_norm,none",Azure99_blossom-v5.1-34b,bbh,0.924,0.9774193548387097
leaderboard_bbh_boolean_expressions,"acc_norm,none",Azure99_blossom-v5.1-9b,bbh,0.84,0.707258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",Azure99_Blossom-V6-14B,bbh,0.744,0.28440860215053765
leaderboard_bbh_boolean_expressions,"acc_norm,none",Azure99_Blossom-V6-7B,bbh,0.828,0.6349462365591397
leaderboard_bbh_boolean_expressions,"acc_norm,none",Ba2han_Llama-Phi-3_DoRA,bbh,0.832,0.657258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Gemma2-9B-IT-Simpo-Infinity-Preference,bbh,0.844,0.7311827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-3M-0613-Llama3-70B,bbh,0.876,0.8841397849462366
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-3M-0613-Mistral-7B,bbh,0.788,0.45403225806451614
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-3M-0625-Llama3-70B,bbh,0.888,0.9150537634408602
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-3M-0625-Llama3-8B,bbh,0.808,0.5424731182795699
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-3M-0625-Mistral-7B,bbh,0.804,0.5201612903225806
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-3M-0625-Qwen2-7B,bbh,0.8,0.5037634408602151
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-3M-0625-Yi-1.5-9B,bbh,0.844,0.7311827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-7M-0729-Llama3_1-8B,bbh,0.832,0.657258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-7M-0729-mistral-7B,bbh,0.792,0.4728494623655914
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-7M-Gen-Llama3_1-70B,bbh,0.92,0.9717741935483871
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-7M-Gen-Llama3_1-8B,bbh,0.832,0.657258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_Infinity-Instruct-7M-Gen-mistral-7B,bbh,0.792,0.4728494623655914
leaderboard_bbh_boolean_expressions,"acc_norm,none",BAAI_OPI-Llama-3.1-8B-Instruct,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",Baptiste-HUVELLE-10_LeTriomphant2.2_ECE_iLAB,bbh,0.924,0.9774193548387097
leaderboard_bbh_boolean_expressions,"acc_norm,none",bedio_DistMerge_Llama-3.1-8B-Instruct,bbh,0.844,0.7311827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",BEE-spoke-data_Meta-Llama-3-8Bee,bbh,0.788,0.45403225806451614
leaderboard_bbh_boolean_expressions,"acc_norm,none",BEE-spoke-data_smol_llama-101M-GQA,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",BEE-spoke-data_smol_llama-220M-GQA,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",BEE-spoke-data_smol_llama-220M-GQA-fineweb_edu,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",BEE-spoke-data_smol_llama-220M-openhermes,bbh,0.496,0.0846774193548387
leaderboard_bbh_boolean_expressions,"acc_norm,none",BEE-spoke-data_tFINE-900m-e16-d32-flan,bbh,0.408,0.0005376344086021505
leaderboard_bbh_boolean_expressions,"acc_norm,none",BEE-spoke-data_tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",BEE-spoke-data_tFINE-900m-e16-d32-instruct_2e,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",BEE-spoke-data_tFINE-900m-instruct-orpo,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",BenevolenceMessiah_Qwen2.5-72B-2x-Instruct-TIES-v1.0,bbh,0.932,0.9879032258064516
leaderboard_bbh_boolean_expressions,"acc_norm,none",BenevolenceMessiah_Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,bbh,0.888,0.9150537634408602
leaderboard_bbh_boolean_expressions,"acc_norm,none",bigscience_bloom-1b1,bbh,0.54,0.10994623655913978
leaderboard_bbh_boolean_expressions,"acc_norm,none",BlackBeenie_Bloslain-8B-v0.2,bbh,0.832,0.657258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",BlackBeenie_llama-3-luminous-merged,bbh,0.784,0.43091397849462365
leaderboard_bbh_boolean_expressions,"acc_norm,none",BlackBeenie_llama-3.1-8B-Galore-openassistant-guanaco,bbh,0.832,0.657258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",BlackBeenie_Llama-3.1-8B-OpenO1-SFT-v0.1,bbh,0.796,0.4889784946236559
leaderboard_bbh_boolean_expressions,"acc_norm,none",BlackBeenie_Llama-3.1-8B-pythonic-passthrough-merge,bbh,0.76,0.34059139784946235
leaderboard_bbh_boolean_expressions,"acc_norm,none",BlackBeenie_Neos-Gemma-2-9b,bbh,0.828,0.6349462365591397
leaderboard_bbh_boolean_expressions,"acc_norm,none",BlackBeenie_Neos-Llama-3.1-8B,bbh,0.78,0.4112903225806452
leaderboard_bbh_boolean_expressions,"acc_norm,none",BlackBeenie_Neos-Llama-3.1-base,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",BlackBeenie_Neos-Phi-3-14B-v0.1,bbh,0.872,0.8696236559139785
leaderboard_bbh_boolean_expressions,"acc_norm,none",Bllossom_llama-3.2-Korean-Bllossom-AICA-5B,bbh,0.684,0.18306451612903227
leaderboard_bbh_boolean_expressions,"acc_norm,none",BoltMonkey_DreadMix,bbh,0.856,0.8104838709677419
leaderboard_bbh_boolean_expressions,"acc_norm,none",BoltMonkey_NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,bbh,0.824,0.614516129032258
leaderboard_bbh_boolean_expressions,"acc_norm,none",BoltMonkey_SuperNeuralDreadDevil-8b,bbh,0.82,0.5983870967741935
leaderboard_bbh_boolean_expressions,"acc_norm,none",bosonai_Higgs-Llama-3-70B,bbh,0.872,0.8696236559139785
leaderboard_bbh_boolean_expressions,"acc_norm,none",braindao_DeepSeek-R1-Distill-Qwen-1.5B-Blunt,bbh,0.5,0.08790322580645162
leaderboard_bbh_boolean_expressions,"acc_norm,none",braindao_DeepSeek-R1-Distill-Qwen-14B-Blunt,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",braindao_DeepSeek-R1-Distill-Qwen-14B-Blunt-Uncensored,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",braindao_DeepSeek-R1-Distill-Qwen-14B-Blunt-Uncensored-Blunt,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",braindao_DeepSeek-R1-Distill-Qwen-7B-Reflective,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",braindao_Qwen2.5-14B,bbh,0.876,0.8841397849462366
leaderboard_bbh_boolean_expressions,"acc_norm,none",BrainWave-ML_llama3.2-3B-maths-orpo,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",BramVanroy_fietje-2,bbh,0.772,0.37849462365591396
leaderboard_bbh_boolean_expressions,"acc_norm,none",BramVanroy_fietje-2-chat,bbh,0.824,0.614516129032258
leaderboard_bbh_boolean_expressions,"acc_norm,none",BramVanroy_fietje-2-instruct,bbh,0.824,0.614516129032258
leaderboard_bbh_boolean_expressions,"acc_norm,none",BramVanroy_GEITje-7B-ultra,bbh,0.676,0.17661290322580644
leaderboard_bbh_boolean_expressions,"acc_norm,none",BSC-LT_salamandra-7b,bbh,0.74,0.267741935483871
leaderboard_bbh_boolean_expressions,"acc_norm,none",BSC-LT_salamandra-7b-instruct,bbh,0.684,0.18306451612903227
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_FuseCyberMix-Qwen-2.5-7B-Instruct,bbh,0.84,0.707258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Gemma2-9B-TitanFusion,bbh,0.808,0.5424731182795699
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_HyperLlama-3.1-8B,bbh,0.812,0.564247311827957
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Llama-3.1-8B-TitanFusion-v3,bbh,0.808,0.5424731182795699
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Llama-3.2-3B-Deep-Test,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Llama-3.2-3B-Della,bbh,0.712,0.2075268817204301
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Llama-3.2-3B-Long-Think,bbh,0.808,0.5424731182795699
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Llama-3.2-3B-Mix-Skill,bbh,0.8,0.5037634408602151
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Llama-3.2-3B-ProdigyPlus,bbh,0.808,0.5424731182795699
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Llama-3.2-3B-ToxicKod,bbh,0.78,0.4112903225806452
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Phi-3.5-mini-TitanFusion-0.1,bbh,0.828,0.6349462365591397
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Phi-4-Model-Stock-v4,bbh,0.916,0.9650537634408602
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Phi-4-ReasoningRP,bbh,0.92,0.9717741935483871
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Phi-4-RP-v0,bbh,0.912,0.9583333333333334
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Phi-4-RR-Shoup,bbh,0.928,0.9825268817204301
leaderboard_bbh_boolean_expressions,"acc_norm,none",bunnycore_Phi-4-Sce-exp-v0.1,bbh,0.928,0.9825268817204301
