Model,ability,submission_date,folder,detailed_ability,weak_ability,task_count,family_count,coverage,eligible,rank_difference
Qwen/Qwen1.5-32B-Chat,29.25746822860332,2024-06-12,Qwen_Qwen1.5-32B-Chat,0.677066925727623,0.5177726649977716,40,6,1.0,True,0.024271844660194164
01-ai/Yi-1.5-9B-Chat,29.530872220260978,2024-06-12,01-ai_Yi-1.5-9B-Chat,0.6724482049130683,0.617271505376344,40,6,1.0,True,0.0026968716289105243
microsoft/Phi-3-medium-4k-instruct,33.09765943937642,2024-06-12,microsoft_Phi-3-medium-4k-instruct,0.7849520277169166,0.6987683916132507,40,6,1.0,True,0.03883495145631066
01-ai/Yi-1.5-34B-Chat,33.35799367075618,2024-06-12,01-ai_Yi-1.5-34B-Chat,0.8115992188103682,0.7602459959699133,40,6,1.0,True,0.05231930960086306
mistralai/Mixtral-8x22B-Instruct-v0.1,33.88568028808198,2024-06-12,mistralai_Mixtral-8x22B-Instruct-v0.1,0.7793296022095768,0.7671277598276791,40,6,1.0,True,0.02157497303128375
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,34.12596338467094,2024-06-12,HuggingFaceH4_zephyr-orpo-141b-A35b-v0.1,0.8018066445618015,0.7869367769669285,40,6,1.0,True,0.03182308522114352
meta-llama/Meta-Llama-3-70B-Instruct,36.37222412927012,2024-06-12,meta-llama_Meta-Llama-3-70B-Instruct,0.8136390198005039,0.812955773272882,40,6,1.0,True,0.006472491909385036
bigscience/bloom-1b1,4.025155876068456,2024-06-13,bigscience_bloom-1b1,0.19216353981911932,0.08296018118019004,40,6,1.0,True,0.07443365695792879
Qwen/Qwen1.5-0.5B,5.3510150735736985,2024-06-13,Qwen_Qwen1.5-0.5B,0.18434232117856825,0.10040322580645161,40,6,1.0,True,0.011326860841423952
microsoft/phi-1,5.574318195377169,2024-06-13,microsoft_phi-1,0.19630703041280087,0.08444529852172251,40,6,1.0,True,0.03505933117583604
NousResearch/Yarn-Llama-2-13b-128k,8.494146676691704,2024-06-13,NousResearch_Yarn-Llama-2-13b-128k,0.2745081640581245,0.18181206246634357,40,6,1.0,True,0.028047464940668815
Qwen/Qwen1.5-1.8B,9.269492522098925,2024-06-13,Qwen_Qwen1.5-1.8B,0.2904456053278324,0.15048230672969967,40,6,1.0,True,0.029126213592233025
Qwen/Qwen1.5-MoE-A2.7B,13.945920112290063,2024-06-13,Qwen_Qwen1.5-MoE-A2.7B,0.29327764101185244,0.10745880886619069,40,6,1.0,True,0.033441208198489725
NousResearch/Hermes-2-Pro-Llama-3-8B,22.06997572152565,2024-06-13,NousResearch_Hermes-2-Pro-Llama-3-8B,0.5242362993366275,0.4144138568971807,40,6,1.0,True,0.0059331175836030425
Qwen/Qwen2-57B-A14B,25.0338731324107,2024-06-13,Qwen_Qwen2-57B-A14B,0.6579280384189142,0.5548665183537264,40,6,1.0,True,0.09385113268608414
CohereForAI/c4ai-command-r-v01,25.929031834951832,2024-06-13,CohereForAI_c4ai-command-r-v01,0.5416722722507596,0.3514112903225806,40,6,1.0,True,0.10409924487594391
Qwen/Qwen1.5-32B,27.2987558571606,2024-06-13,Qwen_Qwen1.5-32B,0.7131534258825398,0.6180107526881721,40,6,1.0,True,0.12459546925566334
Qwen/Qwen1.5-110B,29.83367750486893,2024-06-13,Qwen_Qwen1.5-110B,0.7605689804735771,0.7033602150537634,40,6,1.0,True,0.08306364617044226
CohereForAI/c4ai-command-r-plus,30.936070612618508,2024-06-13,CohereForAI_c4ai-command-r-plus,0.7149042260558611,0.5862277867528272,40,6,1.0,True,0.008090614886731351
AI-Sweden-Models/gpt-sw3-40b,4.872902485288683,2024-06-26,AI-Sweden-Models_gpt-sw3-40b,0.1920020895208387,0.09693496245828699,40,6,1.0,True,0.04800431499460626
Josephgflowers/TinyLlama-Cinder-Agent-v1,6.332677189374276,2024-06-26,Josephgflowers_TinyLlama-Cinder-Agent-v1,0.21670294378312108,0.08004032258064517,40,6,1.0,True,0.060949298813376476
BEE-spoke-data/smol_llama-220M-GQA,6.577800964187134,2024-06-26,BEE-spoke-data_smol_llama-220M-GQA,0.18627233424093395,0.06105380399517983,40,6,1.0,True,0.014563106796116498
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,6.629850832257909,2024-06-26,BEE-spoke-data_smol_llama-220M-GQA-fineweb_edu,0.17761320488424132,0.05479256779057447,40,6,1.0,True,0.040453074433656956
VAGOsolutions/SauerkrautLM-Gemma-2b,7.716094956089698,2024-06-26,VAGOsolutions_SauerkrautLM-Gemma-2b,0.23896593242476682,0.12358610261401556,40,6,1.0,True,0.038295577130528585
CortexLM/btlm-7b-base-v0.2,8.920254930681883,2024-06-26,CortexLM_btlm-7b-base-v0.2,0.31852237041972986,0.2020975558913961,40,6,1.0,True,0.05555555555555555
Josephgflowers/Cinder-Phi-2-V1-F16-gguf,11.258522615146035,2024-06-26,Josephgflowers_Cinder-Phi-2-V1-F16-gguf,0.3538314742645451,0.23939485004317307,40,6,1.0,True,0.05177993527508093
kevin009/llamaRAGdrama,13.348717196012394,2024-06-26,kevin009_llamaRAGdrama,0.3598399341221144,0.2497970835650723,40,6,1.0,True,0.03074433656957931
LLM360/K2,14.643753289939289,2024-06-26,LLM360_K2,0.44926747623028307,0.29137928413848213,40,6,1.0,True,0.10409924487594385
Locutusque/Llama-3-NeuralHercules-5.0-8B,16.042475909115613,2024-06-26,Locutusque_Llama-3-NeuralHercules-5.0-8B,0.3743203337271398,0.26682767470946894,40,6,1.0,True,0.019956850053937436
johnsutor/Llama-3-8B-Instruct_ties-density-0.7,18.056542734095075,2024-06-26,johnsutor_Llama-3-8B-Instruct_ties-density-0.7,0.47472855404186454,0.38744658398040543,40,6,1.0,True,0.055016181229773475
uukuguy/speechless-instruct-mistral-7b-v0.2,18.10671348498029,2024-06-26,uukuguy_speechless-instruct-mistral-7b-v0.2,0.4455686841780836,0.3224841838153504,40,6,1.0,True,0.009708737864077666
Enno-Ai/EnnoAi-Pro-Llama-3-8B-v0.3,18.128287498482546,2024-06-26,Enno-Ai_EnnoAi-Pro-Llama-3-8B-v0.3,0.4086761611413957,0.27412634408602155,40,6,1.0,True,0.03991370010787487
uukuguy/speechless-code-mistral-7b-v1.0,18.19259169032542,2024-06-26,uukuguy_speechless-code-mistral-7b-v1.0,0.4311477281691034,0.3381652031545851,40,6,1.0,True,0.01294498381877024
johnsutor/Llama-3-8B-Instruct_breadcrumbs-density-0.7-gamma-0.01,18.480197691407646,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs-density-0.7-gamma-0.01,0.45315344635624727,0.35161290322580646,40,6,1.0,True,0.008090614886731406
uukuguy/speechless-llama2-hermes-orca-platypus-wizardlm-13b,18.701595895131856,2024-06-26,uukuguy_speechless-llama2-hermes-orca-platypus-wizardlm-13b,0.43352708161868964,0.2922183502502781,40,6,1.0,True,0.0221143473570658
johnsutor/Llama-3-8B-Instruct_breadcrumbs_ties-density-0.9-gamma-0.01,19.06061039400886,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs_ties-density-0.9-gamma-0.01,0.45491800825372597,0.339349276974416,40,6,1.0,True,0.0032362459546925737
johnsutor/Llama-3-8B-Instruct_breadcrumbs_ties-density-0.7-gamma-0.01,19.288081466217857,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs_ties-density-0.7-gamma-0.01,0.48182969346381543,0.3706317204301075,40,6,1.0,True,0.025889967637540423
Weyaxi/Einstein-v6.1-developed-by-Weyaxi-Llama3-8B,19.318742706301332,2024-06-26,Weyaxi_Einstein-v6.1-developed-by-Weyaxi-Llama3-8B,0.5185475952673662,0.40404184046153413,40,6,1.0,True,0.08252427184466021
lemon07r/Llama-3-RedMagic4-8B,19.430990497953946,2024-06-26,lemon07r_Llama-3-RedMagic4-8B,0.42200149849755275,0.24280913978494623,40,6,1.0,True,0.06040992448759436
johnsutor/Llama-3-8B-Instruct_breadcrumbs-density-0.5-gamma-0.01,19.44753152983463,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs-density-0.5-gamma-0.01,0.4641877263432699,0.348991935483871,40,6,1.0,True,0.0010787486515642097
lemon07r/llama-3-NeuralMahou-8b,19.846074213837827,2024-06-26,lemon07r_llama-3-NeuralMahou-8b,0.4336002044590995,0.25813172043010757,40,6,1.0,True,0.05825242718446605
Weyaxi/Einstein-v6.1-Llama3-8B,20.169491366460083,2024-06-26,Weyaxi_Einstein-v6.1-Llama3-8B,0.5168531388537974,0.4406879317308228,40,6,1.0,True,0.053398058252427216
johnsutor/Llama-3-8B-Instruct_breadcrumbs_ties-density-0.5-gamma-0.01,20.250340892451284,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs_ties-density-0.5-gamma-0.01,0.4803753752467889,0.34359702607396597,40,6,1.0,True,0.007551240560949302
johnsutor/Llama-3-8B-Instruct_ties-density-0.1,20.428512140604372,2024-06-26,johnsutor_Llama-3-8B-Instruct_ties-density-0.1,0.5403119608746375,0.4752977845754542,40,6,1.0,True,0.08683926645091694
Locutusque/Llama-3-Yggdrasil-2.0-8B,20.46019749438689,2024-06-26,Locutusque_Llama-3-Yggdrasil-2.0-8B,0.49372003344173027,0.2744623655913978,40,6,1.0,True,0.004854368932038833
allknowingroger/ROGERphi-7B-slerp,20.70747082131683,2024-06-26,allknowingroger_ROGERphi-7B-slerp,0.5598357335491164,0.44327902704674554,40,6,1.0,True,0.10571736785329022
Naveenpoliasetty/llama3-8B-V2,20.820686737632144,2024-06-26,Naveenpoliasetty_llama3-8B-V2,0.5601266799296981,0.4832527750273594,40,6,1.0,True,0.10302049622437975
maldv/badger-lambda-llama-3-8b,20.9438502482595,2024-06-26,maldv_badger-lambda-llama-3-8b,0.5141824113220322,0.41716056034482757,40,6,1.0,True,0.01995685005393738
johnsutor/Llama-3-8B-Instruct_breadcrumbs_ties-density-0.9-gamma-0.1,21.361497158834098,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs_ties-density-0.9-gamma-0.1,0.5745147681273785,0.4655724242213571,40,6,1.0,True,0.09816612729234087
johnsutor/Llama-3-8B-Instruct_linear,21.370872595590694,2024-06-26,johnsutor_Llama-3-8B-Instruct_linear,0.5569298640839715,0.4761655861790429,40,6,1.0,True,0.07227615965480039
johnsutor/Llama-3-8B-Instruct_breadcrumbs_ties-density-0.5-gamma-0.1,21.442231277824096,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs_ties-density-0.5-gamma-0.1,0.5703904615379202,0.46046725988847775,40,6,1.0,True,0.09277238403451993
johnsutor/Llama-3-8B-Instruct_breadcrumbs-density-0.1-gamma-0.1,21.44635595224064,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs-density-0.1-gamma-0.1,0.5574653517249091,0.47651311063218393,40,6,1.0,True,0.07119741100323629
johnsutor/Llama-3-8B-Instruct_breadcrumbs-density-0.7-gamma-0.1,21.77274590923878,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs-density-0.7-gamma-0.1,0.5762221887030584,0.47589350581676043,40,6,1.0,True,0.0884573894282632
johnsutor/Llama-3-8B-Instruct_breadcrumbs_ties-density-0.1-gamma-0.01,22.174229898217675,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs_ties-density-0.1-gamma-0.01,0.5572731145161515,0.4362186669446037,40,6,1.0,True,0.04800431499460622
johnsutor/Llama-3-8B-Instruct_breadcrumbs-density-0.5-gamma-0.1,22.371145290205714,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs-density-0.5-gamma-0.1,0.5844832962251482,0.47962579949944384,40,6,1.0,True,0.08090614886731395
johnsutor/Llama-3-8B-Instruct_breadcrumbs-density-0.1-gamma-0.01,22.442126802141008,2024-06-26,johnsutor_Llama-3-8B-Instruct_breadcrumbs-density-0.1-gamma-0.01,0.5564001697066776,0.4543168177949172,40,6,1.0,True,0.03937432578209277
CausalLM/34b-beta,23.29783304542188,2024-06-26,CausalLM_34b-beta,0.6038042034266818,0.4468901453957997,40,6,1.0,True,0.08090614886731384
vicgalle/Roleplay-Llama-3-8B,24.020182936148974,2024-06-26,vicgalle_Roleplay-Llama-3-8B,0.49120383083047764,0.36875,40,6,1.0,True,0.1402373247033441
Weyaxi/Einstein-v7-Qwen2-7B,24.806418050095402,2024-06-26,Weyaxi_Einstein-v7-Qwen2-7B,0.6088174859022965,0.5200982862903225,40,6,1.0,True,0.03290183387270762
HiroseKoichi/Llama-Salad-4x8B-V3,24.922701724199346,2024-06-26,HiroseKoichi_Llama-Salad-4x8B-V3,0.5901531029922855,0.4995311984296559,40,6,1.0,True,0.007011866235167252
MaziyarPanahi/calme-2.3-phi3-4b,24.981612770364112,2024-06-26,MaziyarPanahi_calme-2.3-phi3-4b,0.631648741058395,0.5400537634408602,40,6,1.0,True,0.05231930960086295
MaziyarPanahi/calme-2.2-phi3-4b,25.232640533631113,2024-06-26,MaziyarPanahi_calme-2.2-phi3-4b,0.5725079028276572,0.41676437889763235,40,6,1.0,True,0.03883495145631066
Ba2han/Llama-Phi-3_DoRA,25.469895001154402,2024-06-26,Ba2han_Llama-Phi-3_DoRA,0.6243307185764952,0.5133064516129032,40,6,1.0,True,0.034519956850053934
MaziyarPanahi/calme-2.1-phi3-4b,25.985365252885945,2024-06-26,MaziyarPanahi_calme-2.1-phi3-4b,0.5946293162038176,0.4580303168481943,40,6,1.0,True,0.02588996763754048
MaziyarPanahi/Llama-3-70B-Instruct-v0.1,26.33391343739024,2024-06-26,MaziyarPanahi_Llama-3-70B-Instruct-v0.1,0.6498878456860312,0.5068696120689655,40,6,1.0,True,0.04207119741100318
MaziyarPanahi/Llama-3-8B-Instruct-v0.10,26.797403388133414,2024-06-26,MaziyarPanahi_Llama-3-8B-Instruct-v0.10,0.514762199198887,0.37225797766081264,40,6,1.0,True,0.18015102481121903
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,27.216374484698875,2024-06-26,Syed-Hasan-8503_Phi-3-mini-4K-instruct-cpo-simpo,0.6417504350627724,0.5197007091212458,40,6,1.0,True,0.006472491909385036
152334H/miqu-1-70b-sf,29.097407726236643,2024-06-26,152334H_miqu-1-70b-sf,0.770218397786717,0.6891801075268817,40,6,1.0,True,0.12944983818770228
MaziyarPanahi/calme-2.4-llama3-70b,32.486225248764676,2024-06-26,MaziyarPanahi_calme-2.4-llama3-70b,0.8140772268196264,0.7779313669289697,40,6,1.0,True,0.06148867313915851
VAGOsolutions/Llama-3-SauerkrautLM-70b-Instruct,38.00558783767682,2024-06-26,VAGOsolutions_Llama-3-SauerkrautLM-70b-Instruct,0.8500278588895368,0.7988018309100701,40,6,1.0,True,0.0026968716289104133
MaziyarPanahi/calme-2.2-llama3-70b,38.14006369052438,2024-06-26,MaziyarPanahi_calme-2.2-llama3-70b,0.8346273206608057,0.8200268817204301,40,6,1.0,True,0.017799352750809017
MaziyarPanahi/calme-2.1-qwen2-72b,44.39894388647036,2024-06-26,MaziyarPanahi_calme-2.1-qwen2-72b,0.9400097722058345,0.9201804087875417,40,6,1.0,True,0.003236245954692629
langgptai/Qwen-las-v0.1,11.633178497007412,2024-06-27,langgptai_Qwen-las-v0.1,0.27865813491947616,0.19526557285873192,40,6,1.0,True,0.011326860841423952
mistralai/Mistral-7B-Instruct-v0.1,12.771229395030618,2024-06-27,mistralai_Mistral-7B-Instruct-v0.1,0.28328384777419024,0.20826612903225805,40,6,1.0,True,0.02696871628910466
spmurrayzzz/Mistral-Syndicate-7B,14.012817664482597,2024-06-27,spmurrayzzz_Mistral-Syndicate-7B,0.3507905257593775,0.2077284946236559,40,6,1.0,True,0.002696871628910469
AI-Sweden-Models/Llama-3-8B-instruct,14.343669671742774,2024-06-27,AI-Sweden-Models_Llama-3-8B-instruct,0.32744603046495147,0.14770267688085187,40,6,1.0,True,0.01941747572815533
Changgil/K2S3-v0.1,14.839283995827836,2024-06-27,Changgil_K2S3-v0.1,0.4167492753617898,0.3297715053763441,40,6,1.0,True,0.056634304207119734
Changgil/K2S3-14b-v0.2,15.275784761251337,2024-06-27,Changgil_K2S3-14b-v0.2,0.41655406373282133,0.32532722740458947,40,6,1.0,True,0.044768069039913705
langgptai/qwen1.5-7b-chat-sa-v0.1,16.580170752646193,2024-06-27,langgptai_qwen1.5-7b-chat-sa-v0.1,0.37097979643322654,0.2728494623655914,40,6,1.0,True,0.03559870550161809
Gryphe/Pantheon-RP-1.0-8b-Llama-3,16.87312240356046,2024-06-27,Gryphe_Pantheon-RP-1.0-8b-Llama-3,0.4442154958972469,0.3157052868831101,40,6,1.0,True,0.042071197411003236
Eric111/CatunaMayo-DPO,21.292884967568227,2024-06-27,Eric111_CatunaMayo-DPO,0.5684467963032805,0.4761712439418417,40,6,1.0,True,0.09492988133764835
FallenMerick/Chewy-Lemon-Cookie-11B,22.043725653783586,2024-06-27,FallenMerick_Chewy-Lemon-Cookie-11B,0.5623592306030365,0.45476575121163165,40,6,1.0,True,0.06148867313915862
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,22.29353000800769,2024-06-27,BAAI_Infinity-Instruct-3M-0613-Mistral-7B,0.5071376924537855,0.39900420379731444,40,6,1.0,True,0.03613807982740025
4season/final_model_test_v2,23.086235043644052,2024-06-27,4season_final_model_test_v2,0.6322974124079109,0.32700632247739214,40,6,1.0,True,0.12621359223300965
PJMixers/LLaMa-3-CursedStock-v2.0-8B,24.166133893343382,2024-06-27,PJMixers_LLaMa-3-CursedStock-v2.0-8B,0.5802436557666614,0.4676075268817204,40,6,1.0,True,0.0021574973031283085
