leaderboard_row,leaderboard_model,epoch_row,epoch_model,method,confidence,parameter_difference,date_difference,accepted,c2_open_weights,c2_matched
48,Aashraf995/Creative-7B-nerd,,,unmatched,0.0,,,False,,False
49,Aashraf995/Gemma-Evo-10B,,,unmatched,0.0,,,False,,False
50,Aashraf995/Qwen-Evo-7B,,,unmatched,0.0,,,False,,False
51,Aashraf995/QwenStock-14B,,,unmatched,0.0,,,False,,False
52,AbacusResearch/Jallabi-34B,,,unmatched,0.0,,,False,,False
53,Ahdoot/StructuredThinker-v0.3-MoreStructure,,,unmatched,0.0,,,False,,False
54,Ahdoot/Test_StealthThinker,,,unmatched,0.0,,,False,,False
55,AicoresSecurity/Cybernet-Sec-3B-R1-V0,,,unmatched,0.0,,,False,,False
56,AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,,,unmatched,0.0,,,False,,False
57,AicoresSecurity/Cybernet-Sec-3B-R1-V1,,,unmatched,0.0,,,False,,False
58,AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,,,unmatched,0.0,,,False,,False
59,Alepach/notHumpback-M0,,,unmatched,0.0,,,False,,False
60,Alepach/notHumpback-M1,,,unmatched,0.0,,,False,,False
61,Alepach/notHumpback-M1-v2,,,unmatched,0.0,,,False,,False
62,Alibaba-NLP/gte-Qwen2-7B-instruct,,,unmatched,0.0,,,False,,False
63,Alsebay/Qwen2.5-7B-test-novelist,,,unmatched,0.0,,,False,Yes,True
64,Amaorynho/BBAI2006,,,unmatched,0.0,,,False,,False
65,Amaorynho/BBAI270V4,,,unmatched,0.0,,,False,,False
66,Amaorynho/BBAIIFEV1,,,unmatched,0.0,,,False,,False
67,Amaorynho/BBAI_375,,,unmatched,0.0,,,False,,False
68,Amu/t1-1.5B,,,unmatched,0.0,,,False,,False
69,Amu/t1-3B,,,unmatched,0.0,,,False,,False
70,ArliAI/ArliAI-RPMax-12B-v1.1,,,unmatched,0.0,,,False,,False
71,ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,,,unmatched,0.0,,,False,,False
72,Arthur-LAGACHERIE/Precis-1B-Instruct,,,unmatched,0.0,,,False,,False
73,Artples/L-MChat-7b,,,unmatched,0.0,,,False,,False
74,Artples/L-MChat-Small,,,unmatched,0.0,,,False,,False
75,Aryanne/QwentileSwap,,,unmatched,0.0,,,False,,False
76,Aryanne/SHBA,,,unmatched,0.0,,,False,,False
77,Aryanne/SuperHeart,,,unmatched,0.0,,,False,,False
78,AtAndDev/Qwen2.5-1.5B-continuous-learnt,,,unmatched,0.0,,,False,Yes,True
79,AtAndDev/Qwen2.5-1.5B-continuous-learnt,,,unmatched,0.0,,,False,Yes,True
80,Ateron/Glowing-Forest-12B,,,unmatched,0.0,,,False,,False
81,Ateron/Lotus-Magpic,,,unmatched,0.0,,,False,,False
82,Ateron/Way_of_MagPicaro,,,unmatched,0.0,,,False,,False
83,AuraIndustries/Aura-4B,,,unmatched,0.0,,,False,,False
84,AuraIndustries/Aura-8B,,,unmatched,0.0,,,False,,False
85,AuraIndustries/Aura-MoE-2x4B,,,unmatched,0.0,,,False,,False
86,AuraIndustries/Aura-MoE-2x4B-v2,,,unmatched,0.0,,,False,,False
87,Aurel9/testmerge-7b,,,unmatched,0.0,,,False,,False
88,Ayush-Singh/Llama1B-sft-2,,,unmatched,0.0,,,False,,False
89,Azure99/Blossom-V6-14B,,,unmatched,0.0,,,False,,False
90,Azure99/Blossom-V6-7B,,,unmatched,0.0,,,False,,False
91,Azure99/blossom-v5-32b,,,unmatched,0.0,,,False,,False
92,Azure99/blossom-v5-llama3-8b,,,unmatched,0.0,,,False,,False
93,Azure99/blossom-v5.1-34b,,,unmatched,0.0,,,False,,False
94,Azure99/blossom-v5.1-9b,,,unmatched,0.0,,,False,,False
95,BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,,,unmatched,0.0,,,False,,False
96,BAAI/Infinity-Instruct-3M-0613-Llama3-70B,,,unmatched,0.0,,,False,,False
97,BAAI/Infinity-Instruct-3M-0613-Mistral-7B,,,unmatched,0.0,,,False,,False
98,BAAI/Infinity-Instruct-3M-0625-Llama3-70B,,,unmatched,0.0,,,False,,False
99,BAAI/Infinity-Instruct-3M-0625-Llama3-8B,,,unmatched,0.0,,,False,,False
100,BAAI/Infinity-Instruct-3M-0625-Mistral-7B,,,unmatched,0.0,,,False,,False
101,BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,,,unmatched,0.0,,,False,,False
102,BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,,,unmatched,0.0,,,False,,False
103,BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,,,unmatched,0.0,,,False,,False
104,BAAI/Infinity-Instruct-7M-0729-mistral-7B,,,unmatched,0.0,,,False,,False
105,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,,,unmatched,0.0,,,False,,False
106,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,,,unmatched,0.0,,,False,,False
107,BAAI/Infinity-Instruct-7M-Gen-mistral-7B,,,unmatched,0.0,,,False,,False
108,BAAI/OPI-Llama-3.1-8B-Instruct,,,unmatched,0.0,,,False,,False
109,BEE-spoke-data/Meta-Llama-3-8Bee,,,unmatched,0.0,,,False,,False
110,BEE-spoke-data/smol_llama-101M-GQA,,,unmatched,0.0,,,False,,False
111,BEE-spoke-data/smol_llama-220M-GQA,,,unmatched,0.0,,,False,,False
112,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,,,unmatched,0.0,,,False,,False
113,BEE-spoke-data/smol_llama-220M-openhermes,,,unmatched,0.0,,,False,,False
114,BEE-spoke-data/tFINE-900m-e16-d32-flan,,,unmatched,0.0,,,False,,False
115,BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,,,unmatched,0.0,,,False,,False
116,BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,,,unmatched,0.0,,,False,,False
117,BEE-spoke-data/tFINE-900m-instruct-orpo,,,unmatched,0.0,,,False,,False
118,BSC-LT/salamandra-7b,,,unmatched,0.0,,,False,,False
119,BSC-LT/salamandra-7b-instruct,,,unmatched,0.0,,,False,,False
120,Ba2han/Llama-Phi-3_DoRA,,,unmatched,0.0,,,False,,False
121,Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,,,unmatched,0.0,,,False,,False
122,BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,,,unmatched,0.0,,,False,Yes,True
123,BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,,,unmatched,0.0,,,False,,False
124,BlackBeenie/Bloslain-8B-v0.2,,,unmatched,0.0,,,False,,False
125,BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,,,unmatched,0.0,,,False,,False
126,BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,,,unmatched,0.0,,,False,,False
127,BlackBeenie/Neos-Gemma-2-9b,,,unmatched,0.0,,,False,,False
128,BlackBeenie/Neos-Llama-3.1-8B,,,unmatched,0.0,,,False,,False
129,BlackBeenie/Neos-Llama-3.1-base,,,unmatched,0.0,,,False,,False
130,BlackBeenie/Neos-Phi-3-14B-v0.1,,,unmatched,0.0,,,False,,False
131,BlackBeenie/llama-3-luminous-merged,,,unmatched,0.0,,,False,,False
132,BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,,,unmatched,0.0,,,False,,False
133,Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,,,unmatched,0.0,,,False,,False
134,BoltMonkey/DreadMix,,,unmatched,0.0,,,False,,False
135,BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,,,unmatched,0.0,,,False,,False
136,BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,,,unmatched,0.0,,,False,,False
137,BoltMonkey/SuperNeuralDreadDevil-8b,,,unmatched,0.0,,,False,,False
138,BrainWave-ML/llama3.2-3B-maths-orpo,,,unmatched,0.0,,,False,,False
139,BramVanroy/GEITje-7B-ultra,,,unmatched,0.0,,,False,,False
140,BramVanroy/fietje-2,,,unmatched,0.0,,,False,,False
141,BramVanroy/fietje-2-chat,,,unmatched,0.0,,,False,,False
142,BramVanroy/fietje-2-instruct,,,unmatched,0.0,,,False,,False
143,CYFRAGOVPL/Llama-PLLuM-8B-base,,,unmatched,0.0,,,False,,False
144,CYFRAGOVPL/Llama-PLLuM-8B-chat,,,unmatched,0.0,,,False,,False
145,CYFRAGOVPL/PLLuM-12B-base,,,unmatched,0.0,,,False,,False
146,CYFRAGOVPL/PLLuM-12B-chat,,,unmatched,0.0,,,False,,False
147,CYFRAGOVPL/PLLuM-12B-nc-base,,,unmatched,0.0,,,False,,False
148,CYFRAGOVPL/PLLuM-12B-nc-chat,,,unmatched,0.0,,,False,,False
149,CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct,,,unmatched,0.0,,,False,,False
150,CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,,,unmatched,0.0,,,False,,False
151,Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,,,unmatched,0.0,,,False,,False
152,CausalLM/14B,,,unmatched,0.0,,,False,,False
153,CausalLM/34b-beta,,,unmatched,0.0,,,False,,False
154,CausalLM/preview-1-hf,,,unmatched,0.0,,,False,,False
155,Changgil/K2S3-14b-v0.2,,,unmatched,0.0,,,False,,False
156,Changgil/K2S3-v0.1,,,unmatched,0.0,,,False,,False
157,ClaudioItaly/Albacus,,,unmatched,0.0,,,False,,False
158,ClaudioItaly/Book-Gut12B,,,unmatched,0.0,,,False,,False
159,ClaudioItaly/Evolutionstory-7B-v2.2,,,unmatched,0.0,,,False,,False
160,ClaudioItaly/intelligence-cod-rag-7b-v3,,,unmatched,0.0,,,False,,False
161,CohereForAI/aya-23-35B,,,unmatched,0.0,,,False,,False
162,CohereForAI/aya-23-8B,,,unmatched,0.0,,,False,,False
163,CohereForAI/aya-expanse-32b,776.0,Aya Expanse 32B,normalized_exact_owner_mismatch,0.35,0.00012383900928785707,0.0,False,,False
164,CohereForAI/aya-expanse-8b,777.0,Aya Expanse 8B,normalized_exact_owner_mismatch,0.35,0.003487792725460945,0.0,False,,False
165,CohereForAI/c4ai-command-r-plus,,,unmatched,0.0,,,False,,False
166,CohereForAI/c4ai-command-r-plus-08-2024,,,unmatched,0.0,,,False,,False
167,CohereForAI/c4ai-command-r-v01,,,unmatched,0.0,,,False,,False
168,CohereForAI/c4ai-command-r7b-12-2024,,,unmatched,0.0,,,False,,False
169,Columbia-NLP/LION-Gemma-2b-dpo-v1.0,,,unmatched,0.0,,,False,,False
170,Columbia-NLP/LION-Gemma-2b-dpo-v1.0,,,unmatched,0.0,,,False,,False
171,Columbia-NLP/LION-Gemma-2b-odpo-v1.0,,,unmatched,0.0,,,False,,False
172,Columbia-NLP/LION-Gemma-2b-sft-v1.0,,,unmatched,0.0,,,False,,False
173,Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0,,,unmatched,0.0,,,False,,False
174,Columbia-NLP/LION-LLaMA-3-8b-odpo-v1.0,,,unmatched,0.0,,,False,,False
175,Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0,,,unmatched,0.0,,,False,,False
176,CombinHorizon/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES,,,unmatched,0.0,,,False,,False
177,CombinHorizon/Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES,,,unmatched,0.0,,,False,,False
178,CombinHorizon/YiSM-blossom5.1-34B-SLERP,,,unmatched,0.0,,,False,,False
179,CombinHorizon/huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES,,,unmatched,0.0,,,False,,False
180,CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,,,unmatched,0.0,,,False,,False
181,CombinHorizon/zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES,,,unmatched,0.0,,,False,,False
182,ContactDoctor/Bio-Medical-3B-CoT-012025,,,unmatched,0.0,,,False,,False
183,ContactDoctor/Bio-Medical-Llama-3-8B,,,unmatched,0.0,,,False,,False
184,CoolSpring/Qwen2-0.5B-Abyme,,,unmatched,0.0,,,False,Yes,True
185,CoolSpring/Qwen2-0.5B-Abyme-merge2,,,unmatched,0.0,,,False,Yes,True
186,CoolSpring/Qwen2-0.5B-Abyme-merge3,,,unmatched,0.0,,,False,Yes,True
187,Corianas/Neural-Mistral-7B,,,unmatched,0.0,,,False,,False
188,Corianas/Quokka_2.7b,,,unmatched,0.0,,,False,,False
189,Corianas/llama-3-reactor,,,unmatched,0.0,,,False,,False
190,CortexLM/btlm-7b-base-v0.2,,,unmatched,0.0,,,False,,False
191,Cran-May/SCE-2-24B,,,unmatched,0.0,,,False,,False
192,Cran-May/SCE-3-24B,,,unmatched,0.0,,,False,,False
193,Cran-May/T.E-8.1,,,unmatched,0.0,,,False,,False
194,Cran-May/merge_model_20250308_2,,,unmatched,0.0,,,False,,False
195,Cran-May/merge_model_20250308_3,,,unmatched,0.0,,,False,,False
196,Cran-May/merge_model_20250308_4,,,unmatched,0.0,,,False,,False
197,Cran-May/tempmotacilla-cinerea-0308,,,unmatched,0.0,,,False,,False
198,CreitinGameplays/Llama-3.1-8B-R1-v0.1,,,unmatched,0.0,,,False,,False
199,CultriX/Qwen2.5-14B-Broca,,,unmatched,0.0,,,False,Yes,True
200,CultriX/Qwen2.5-14B-BrocaV9,,,unmatched,0.0,,,False,Yes,True
201,CultriX/Qwen2.5-14B-Brocav3,,,unmatched,0.0,,,False,Yes,True
202,CultriX/Qwen2.5-14B-Brocav6,,,unmatched,0.0,,,False,Yes,True
203,CultriX/Qwen2.5-14B-Brocav7,,,unmatched,0.0,,,False,Yes,True
204,CultriX/Qwen2.5-14B-Emerged,,,unmatched,0.0,,,False,Yes,True
205,CultriX/Qwen2.5-14B-Emergedv3,,,unmatched,0.0,,,False,Yes,True
206,CultriX/Qwen2.5-14B-FinalMerge,,,unmatched,0.0,,,False,Yes,True
207,CultriX/Qwen2.5-14B-Hyper,,,unmatched,0.0,,,False,Yes,True
208,CultriX/Qwen2.5-14B-HyperMarck-dl,,,unmatched,0.0,,,False,Yes,True
209,CultriX/Qwen2.5-14B-Hyperionv3,,,unmatched,0.0,,,False,Yes,True
210,CultriX/Qwen2.5-14B-Hyperionv4,,,unmatched,0.0,,,False,Yes,True
211,CultriX/Qwen2.5-14B-Hyperionv5,,,unmatched,0.0,,,False,Yes,True
212,CultriX/Qwen2.5-14B-MegaMerge-pt2,,,unmatched,0.0,,,False,Yes,True
213,CultriX/Qwen2.5-14B-MergeStock,,,unmatched,0.0,,,False,Yes,True
214,CultriX/Qwen2.5-14B-ReasoningMerge,,,unmatched,0.0,,,False,Yes,True
215,CultriX/Qwen2.5-14B-Ultimav2,,,unmatched,0.0,,,False,Yes,True
216,CultriX/Qwen2.5-14B-Unity,,,unmatched,0.0,,,False,Yes,True
217,CultriX/Qwen2.5-14B-Wernicke,,,unmatched,0.0,,,False,Yes,True
218,CultriX/Qwen2.5-14B-Wernicke-SFT,,,unmatched,0.0,,,False,Yes,True
219,CultriX/Qwen2.5-14B-Wernicke-SLERP,,,unmatched,0.0,,,False,Yes,True
220,CultriX/Qwen2.5-14B-Wernickev3,,,unmatched,0.0,,,False,Yes,True
221,CultriX/Qwen2.5-14B-partialmergept1,,,unmatched,0.0,,,False,Yes,True
222,CultriX/Qwenfinity-2.5-14B,,,unmatched,0.0,,,False,,False
223,CultriX/Qwestion-14B,,,unmatched,0.0,,,False,,False
224,CultriX/SeQwence-14B,,,unmatched,0.0,,,False,,False
225,CultriX/SeQwence-14B-EvolMerge,,,unmatched,0.0,,,False,,False
226,CultriX/SeQwence-14B-EvolMergev1,,,unmatched,0.0,,,False,,False
227,CultriX/SeQwence-14B-v5,,,unmatched,0.0,,,False,,False
228,CultriX/SeQwence-14Bv1,,,unmatched,0.0,,,False,,False
229,CultriX/SeQwence-14Bv2,,,unmatched,0.0,,,False,,False
230,CultriX/SeQwence-14Bv3,,,unmatched,0.0,,,False,,False
231,DRXD1000/Atlas-7B,,,unmatched,0.0,,,False,,False
232,DRXD1000/Phoenix-7B,,,unmatched,0.0,,,False,,False
233,DUAL-GPO/zephyr-7b-ipo-0k-15k-i1,,,unmatched,0.0,,,False,,False
234,DZgas/GIGABATEMAN-7B,,,unmatched,0.0,,,False,,False
235,Daemontatox/AetherDrake-SFT,,,unmatched,0.0,,,False,,False
236,Daemontatox/AetherSett,,,unmatched,0.0,,,False,,False
237,Daemontatox/AetherTOT,,,unmatched,0.0,,,False,,False
238,Daemontatox/AetherTOT,,,unmatched,0.0,,,False,,False
239,Daemontatox/AetherUncensored,,,unmatched,0.0,,,False,,False
240,Daemontatox/Cogito-MIS,,,unmatched,0.0,,,False,,False
241,Daemontatox/CogitoDistil,,,unmatched,0.0,,,False,,False
242,Daemontatox/CogitoZ,,,unmatched,0.0,,,False,,False
243,Daemontatox/CogitoZ14,,,unmatched,0.0,,,False,,False
244,Daemontatox/DocumentCogito,,,unmatched,0.0,,,False,,False
245,Daemontatox/DocumentCogito,,,unmatched,0.0,,,False,,False
246,Daemontatox/Llama3.3-70B-CogniLink,,,unmatched,0.0,,,False,,False
247,Daemontatox/Llama_cot,,,unmatched,0.0,,,False,,False
248,Daemontatox/MawaredT1,,,unmatched,0.0,,,False,,False
249,Daemontatox/Mini_QwQ,,,unmatched,0.0,,,False,,False
250,Daemontatox/NemoR,,,unmatched,0.0,,,False,,False
251,Daemontatox/PathFinderAI2.0,,,unmatched,0.0,,,False,,False
252,Daemontatox/PathFinderAi3.0,,,unmatched,0.0,,,False,,False
253,Daemontatox/PathfinderAI,,,unmatched,0.0,,,False,,False
254,Daemontatox/PathfinderAI,,,unmatched,0.0,,,False,,False
255,Daemontatox/Phi-4-COT,,,unmatched,0.0,,,False,Yes,True
256,Daemontatox/PixelParse_AI,,,unmatched,0.0,,,False,,False
257,Daemontatox/RA2.0,,,unmatched,0.0,,,False,,False
258,Daemontatox/RA_Reasoner,,,unmatched,0.0,,,False,,False
259,Daemontatox/RA_Reasoner2.0,,,unmatched,0.0,,,False,,False
260,Daemontatox/ReasonTest,,,unmatched,0.0,,,False,,False
261,Daemontatox/Research_PathfinderAI,,,unmatched,0.0,,,False,,False
262,Daemontatox/SphinX,,,unmatched,0.0,,,False,,False
263,Daemontatox/Sphinx2.0,,,unmatched,0.0,,,False,,False
264,Daemontatox/TinySphinx,,,unmatched,0.0,,,False,,False
265,Daemontatox/TinySphinx2.0,,,unmatched,0.0,,,False,,False
266,Daemontatox/Zirel-7B-Math,,,unmatched,0.0,,,False,,False
267,Daemontatox/Zirel_1.5,,,unmatched,0.0,,,False,,False
268,Daemontatox/mini-Cogito-R1,,,unmatched,0.0,,,False,,False
269,Daemontatox/mini_Pathfinder,,,unmatched,0.0,,,False,,False
270,Dampfinchen/Llama-3.1-8B-Ultra-Instruct,,,unmatched,0.0,,,False,,False
271,Danielbrdz/Barcenas-10b,,,unmatched,0.0,,,False,,False
272,Danielbrdz/Barcenas-14b-Phi-3-medium-ORPO,,,unmatched,0.0,,,False,,False
273,Danielbrdz/Barcenas-14b-phi-4,,,unmatched,0.0,,,False,,False
274,Danielbrdz/Barcenas-14b-phi-4-v2,,,unmatched,0.0,,,False,,False
275,Danielbrdz/Barcenas-3b-GRPO,,,unmatched,0.0,,,False,,False
276,Danielbrdz/Barcenas-Llama3-8b-ORPO,,,unmatched,0.0,,,False,,False
277,Danielbrdz/Barcenas-R1-Qwen-1.5b,,,unmatched,0.0,,,False,,False
278,Dans-DiscountModels/12b-mn-dans-reasoning-test-2,,,unmatched,0.0,,,False,,False
279,Dans-DiscountModels/12b-mn-dans-reasoning-test-3,,,unmatched,0.0,,,False,,False
280,Dans-DiscountModels/Dans-Instruct-CoreCurriculum-12b-ChatML,,,unmatched,0.0,,,False,,False
281,Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML,,,unmatched,0.0,,,False,,False
282,Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.0,,,unmatched,0.0,,,False,,False
283,Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.1,,,unmatched,0.0,,,False,,False
284,Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.2.0,,,unmatched,0.0,,,False,,False
285,Dans-DiscountModels/Mistral-7b-v0.3-Test-E0.7,,,unmatched,0.0,,,False,,False
286,Dans-DiscountModels/mistral-7b-test-merged,,,unmatched,0.0,,,False,,False
287,Darkknight535/OpenCrystal-12B-L3,,,unmatched,0.0,,,False,,False
288,DavidAU/DeepHermes-3-Llama-3-8B-Preview-16.5B-Brainstorm,,,unmatched,0.0,,,False,,False
289,DavidAU/DeepSeek-BlackRoot-R1-Distill-Llama-3.1-8B,,,unmatched,0.0,,,False,,False
290,DavidAU/DeepSeek-Grand-Horror-SMB-R1-Distill-Llama-3.1-16B,,,unmatched,0.0,,,False,,False
291,DavidAU/DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Deep-Thinker-Uncensored-24B,,,unmatched,0.0,,,False,,False
292,DavidAU/DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Mad-Scientist-24B,,,unmatched,0.0,,,False,,False
293,DavidAU/DeepSeek-R1-Distill-Qwen-25.5B-Brainstorm,,,unmatched,0.0,,,False,Yes,True
294,DavidAU/DeepSeek-V2-Grand-Horror-SMB-R1-Distill-Llama-3.1-Uncensored-16.5B,,,unmatched,0.0,,,False,,False
295,DavidAU/DeepThought-MOE-8X3B-R1-Llama-3.2-Reasoning-18B,,,unmatched,0.0,,,False,,False
296,DavidAU/Gemma-The-Writer-9B,,,unmatched,0.0,,,False,,False
297,DavidAU/Gemma-The-Writer-DEADLINE-10B,,,unmatched,0.0,,,False,,False
298,DavidAU/Gemma-The-Writer-J.GutenBerg-10B,,,unmatched,0.0,,,False,,False
299,DavidAU/Gemma-The-Writer-Mighty-Sword-9B,,,unmatched,0.0,,,False,,False
300,DavidAU/Gemma-The-Writer-N-Restless-Quill-10B-Uncensored,,,unmatched,0.0,,,False,,False
301,DavidAU/L3-DARKEST-PLANET-16.5B,,,unmatched,0.0,,,False,,False
302,DavidAU/L3-Dark-Planet-8B,,,unmatched,0.0,,,False,,False
303,DavidAU/L3-Jamet-12.2B-MK.V-Blackroot-Instruct,,,unmatched,0.0,,,False,,False
304,DavidAU/L3-Lumimaid-12.2B-v0.1-OAS-Instruct,,,unmatched,0.0,,,False,,False
305,DavidAU/L3-SMB-Instruct-12.2B-F32,,,unmatched,0.0,,,False,,False
306,DavidAU/L3-Stheno-Maid-Blackroot-Grand-HORROR-16B,,,unmatched,0.0,,,False,,False
307,DavidAU/L3-Stheno-v3.2-12.2B-Instruct,,,unmatched,0.0,,,False,,False
308,DavidAU/L3.1-Dark-Planet-SpinFire-Uncensored-8B,,,unmatched,0.0,,,False,,False
309,DavidAU/L3.1-MOE-2X8B-Deepseek-DeepHermes-e32-uncensored-abliterated-13.7B,,,unmatched,0.0,,,False,,False
310,DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,,,unmatched,0.0,,,False,,False
311,DavidAU/Qwen2.5-MOE-2X7B-DeepSeek-Abliterated-Censored-19B,,,unmatched,0.0,,,False,,False
