family,increase,decrease,predicted_mean_loss_change_1pp,bootstrap_ci_low,bootstrap_ci_high,bootstrap_same_sign_rate,outer_fold_same_sign_rate
alr_elasticnet,dm_mathematics,pile_cc,-0.01152624308746475,-0.013900316480323327,-0.009112632923533127,1.0,1.0
alr_elasticnet,github,pile_cc,0.0008131988065400719,0.00017093597557036322,0.0014526495372923828,1.0,1.0
alr_elasticnet,philpapers,pile_cc,0.017519327068806767,0.009706818875904678,0.03212761562568984,1.0,1.0
alr_elasticnet,stackexchange,pile_cc,-0.0013222260429328614,-0.002193735065922975,-0.0007396743271413936,1.0,1.0
alr_elasticnet,enron_emails,pile_cc,0.08646073717112035,0.07057452105344746,0.10314699021527345,1.0,1.0
alr_elasticnet,gutenberg_pg_19,pile_cc,0.000857243131537011,-0.0011246517692256263,0.002335388580578757,0.775,1.0
alr_elasticnet,ubuntu_irc,pile_cc,-0.011534756074214947,-0.014828340431657438,-0.0073310936366752805,1.0,1.0
alr_elasticnet,europarl,pile_cc,0.00631976818037483,0.00024556563955850934,0.010542382468847308,0.975,1.0
alr_elasticnet,hackernews,pile_cc,0.0026490336614202192,-0.002216042263668627,0.008381666836017283,0.825,0.8
alr_elasticnet,pubmed_abstracts,pile_cc,0.00016380509940372434,-0.0008445693273936738,0.0010935588987895481,0.525,0.6
alr_elasticnet,uspto_backgrounds,pile_cc,0.001205066787771436,0.00033345293645528076,0.002217283280685222,1.0,1.0
ilr_ridge,arxiv,pile_cc,0.0005809772984379791,-0.00024373987428858432,0.0019398412990740965,0.9,0.8
ilr_ridge,freelaw,pile_cc,0.000605550992013093,-0.0003587694025915411,0.0018091933586623194,0.85,0.6
ilr_ridge,nih_exporter,pile_cc,0.013936310546955433,-0.0014511964775000496,0.030738614373293078,0.925,1.0
ilr_ridge,pubmed_central,pile_cc,-3.2336828896362135e-05,-0.0008381349021354678,0.0010229619015942766,0.5,0.6
ilr_ridge,wikipedia_en,pile_cc,0.000835282377756208,-8.76833180950775e-05,0.0020723019808681627,0.95,1.0
ilr_ridge,dm_mathematics,pile_cc,-0.012461223558256407,-0.016245398382493413,-0.009313570645223269,1.0,1.0
ilr_ridge,github,pile_cc,0.00044910957931243445,-0.00025434824814833944,0.0012230120652863663,0.825,1.0
ilr_ridge,philpapers,pile_cc,0.017413765575706286,0.00285749811129159,0.03465323713530216,0.975,1.0
ilr_ridge,stackexchange,pile_cc,-0.0013610638016174903,-0.0026538514013612737,-0.0006052094558228528,1.0,1.0
ilr_ridge,enron_emails,pile_cc,0.081172640267547,0.05624617090862321,0.12766784010385226,1.0,1.0
ilr_ridge,gutenberg_pg_19,pile_cc,1.8727642903115793e-07,-0.0031059507385783557,0.0013935806551140571,0.475,0.4
ilr_ridge,ubuntu_irc,pile_cc,-0.010274330001283083,-0.0168346696357917,-0.005119158544924198,1.0,1.0
ilr_ridge,europarl,pile_cc,0.005657456507609737,0.0009310874347911115,0.012607697248530525,0.975,1.0
ilr_ridge,hackernews,pile_cc,0.0010070994914013198,-0.004591351488314177,0.010467907205667214,0.675,0.6
ilr_ridge,pubmed_abstracts,pile_cc,-7.284922839101426e-05,-0.001760859278460347,0.0012422403093057088,0.475,0.4
ilr_ridge,uspto_backgrounds,pile_cc,0.001280291451803528,0.000349029015492075,0.002757896718274021,1.0,1.0
alr_pls,arxiv,pile_cc,6.865583066684167e-05,-0.0007167585469731729,0.0013833954336563534,0.675,0.6
alr_pls,freelaw,pile_cc,0.0022904118328677114,0.0010035660155111926,0.0038675306655941537,1.0,1.0
alr_pls,nih_exporter,pile_cc,0.01388393857098702,0.005460971967985495,0.021268551704495986,1.0,1.0
alr_pls,pubmed_central,pile_cc,0.0013559591140337446,0.0003707467455835945,0.002486507732519594,0.975,0.8
alr_pls,wikipedia_en,pile_cc,0.0016092448260076608,0.0001954723301296868,0.00324122868160861,0.975,0.8
alr_pls,dm_mathematics,pile_cc,-0.013591616006131346,-0.015733902847225666,-0.008834465419549554,1.0,1.0
alr_pls,github,pile_cc,0.0011027450395966198,-0.0009068773451576639,0.0028128418408652767,0.85,0.8
alr_pls,philpapers,pile_cc,0.008013979756076317,0.0021428871438025523,0.017077700924475085,0.975,1.0
alr_pls,stackexchange,pile_cc,9.391436336692038e-05,-0.0016123963733658986,0.0012396896369388562,0.5,0.4
alr_pls,enron_emails,pile_cc,0.025675759568858147,0.01759663059387062,0.04532849363300636,1.0,1.0
alr_pls,gutenberg_pg_19,pile_cc,0.002196477572154798,0.000501191839949633,0.00371292335873834,1.0,1.0
alr_pls,ubuntu_irc,pile_cc,-0.014786008963707076,-0.021783062521317363,-0.007902019298086338,1.0,1.0
alr_pls,europarl,pile_cc,0.003396042594694393,0.0012690017531075794,0.007269852151956899,0.975,1.0
alr_pls,hackernews,pile_cc,0.0048028618512399035,0.0011015202852503237,0.009518485172450951,1.0,1.0
alr_pls,pubmed_abstracts,pile_cc,0.0018065217181657545,0.0003695225838272088,0.0035054354052393988,0.975,1.0
alr_pls,uspto_backgrounds,pile_cc,0.0014920645980751601,-0.00018605202232655486,0.0030112887937527636,0.925,1.0
clr_spline,arxiv,pile_cc,-0.002258125049727333,-0.0041461744991420964,-0.0007921115876912368,0.975,1.0
clr_spline,freelaw,pile_cc,-0.0035984744673527302,-0.005987103234369462,-0.0018502486738546824,1.0,1.0
clr_spline,nih_exporter,pile_cc,0.060240256953229654,0.03303342259178628,0.0772348631585798,1.0,1.0
clr_spline,pubmed_central,pile_cc,-0.0018386314781588808,-0.00437210004634625,0.00038850089344188976,0.9,1.0
clr_spline,wikipedia_en,pile_cc,-0.0008156045894178732,-0.004204456761336272,0.0015171570697816816,0.725,1.0
clr_spline,dm_mathematics,pile_cc,-0.0067458184846982405,-0.012802300860750626,-0.0031862315010249523,1.0,1.0
clr_spline,github,pile_cc,-0.003338124445355639,-0.005059673738796211,-0.0014865591453085978,1.0,1.0
clr_spline,philpapers,pile_cc,0.027743249580272078,0.012917624664183936,0.06766437396098526,1.0,0.8
clr_spline,stackexchange,pile_cc,-0.0032595255324139316,-0.005165778648201225,-0.0019292117383232338,1.0,1.0
clr_spline,enron_emails,pile_cc,0.08510897922073468,0.0578334335702471,0.11572764664600668,1.0,1.0
clr_spline,gutenberg_pg_19,pile_cc,0.00236658886301111,-0.0016333766364262426,0.005649344263131217,0.85,0.2
clr_spline,ubuntu_irc,pile_cc,-0.008910361432675096,-0.020128522805721617,0.002136909024186839,0.875,1.0
clr_spline,europarl,pile_cc,0.018152406636516183,0.009614147586385924,0.030488807563497523,1.0,1.0
clr_spline,hackernews,pile_cc,0.011570188898282652,0.0016695932444943829,0.019813199248563302,1.0,1.0
clr_spline,pubmed_abstracts,pile_cc,8.215809271394647e-05,-0.0029182889680088977,0.0016228057522658511,0.375,0.2
clr_spline,uspto_backgrounds,pile_cc,0.000349414275308213,-0.0015145033880120673,0.0038170131483600267,0.675,0.0
