interaction,mean_loss_coefficient,ridge_alpha,stable_evidence,note
pile_cc hackernews,-1.81441866482453,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw ubuntu_irc,-1.8031082230739641,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
stackexchange ubuntu_irc,-1.7898826683235234,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central stackexchange,-1.7267694057133829,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central github,-1.700550198412944,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en stackexchange,-1.6157541874982018,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
dm_mathematics gutenberg_pg_19,-1.4981452734594596,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv pile_cc,-1.445290237708585,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
gutenberg_pg_19 ubuntu_irc,-1.4429790571087078,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter pile_cc,-1.4403337504594838,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
dm_mathematics github,-1.4070256940944053,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
stackexchange gutenberg_pg_19,-1.3913234220589576,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
stackexchange pile_cc,-1.3701549452097945,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central dm_mathematics,-1.3686911387453444,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en gutenberg_pg_19,-1.3686136104140216,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
ubuntu_irc pubmed_abstracts,-1.3040054667479122,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en pubmed_abstracts,-1.2392901230348772,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central wikipedia_en,-1.2048946817540935,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
dm_mathematics stackexchange,-1.1988359121532812,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central pile_cc,-1.1714858794136698,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
github philpapers,-1.1461032768843193,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
gutenberg_pg_19 pubmed_abstracts,-1.1454746294358882,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv stackexchange,-1.1159104429727835,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw pubmed_central,-1.1135078419630002,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
dm_mathematics pubmed_abstracts,-1.0627301717389304,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw github,-1.0307662039808874,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en ubuntu_irc,-1.0139524453928077,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw pile_cc,-0.9395731480627195,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv gutenberg_pg_19,-0.9318263071914932,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
github pubmed_abstracts,-0.8988379867228565,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw gutenberg_pg_19,-0.883466866228452,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv europarl,-0.8792113939569106,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw pubmed_abstracts,-0.8738189323066367,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en github,-0.8045195025754424,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv philpapers,-0.7956102103044865,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
dm_mathematics pile_cc,-0.761023799920388,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
github gutenberg_pg_19,-0.6704804251696685,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
philpapers gutenberg_pg_19,-0.6627509338571953,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
github europarl,-0.6613598657917239,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
stackexchange pubmed_abstracts,-0.6573590124280961,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
philpapers stackexchange,-0.6157798476015023,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv freelaw,-0.6036930279659558,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw wikipedia_en,-0.550730329150017,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv pubmed_central,-0.5246283774606971,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
github pile_cc,-0.49686872944232774,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter github,-0.4605006939211143,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
stackexchange europarl,-0.40609165783232726,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv pubmed_abstracts,-0.4029276356511281,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
dm_mathematics ubuntu_irc,-0.394767390235674,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en pile_cc,-0.3854003884113482,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw hackernews,-0.3778493241140231,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv wikipedia_en,-0.2924783524303111,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
stackexchange hackernews,-0.280119174359973,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv dm_mathematics,-0.23001591848449837,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter gutenberg_pg_19,-0.08142834178879263,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pile_cc europarl,-0.013550518653456339,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pile_cc pubmed_abstracts,0.02548101682915404,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
github stackexchange,0.07939385857644773,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
gutenberg_pg_19 pile_cc,0.28993290572594044,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter pubmed_abstracts,0.3102872473308181,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
github hackernews,0.39958305639210817,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv nih_exporter,0.45176964827548566,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
github enron_emails,0.7267191984324162,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw europarl,0.8064966978939027,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw nih_exporter,0.8885441504481097,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
hackernews pubmed_abstracts,0.982272826685381,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
philpapers pile_cc,1.0811159392170966,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central pubmed_abstracts,1.2465035086545577,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw philpapers,1.2671801094936739,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en europarl,1.3590745606942554,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
dm_mathematics europarl,1.451603157028335,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
europarl pubmed_abstracts,2.2148335299152873,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central philpapers,3.551294724640155,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter wikipedia_en,4.7494229870349205,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
ubuntu_irc europarl,5.141643329586663,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
dm_mathematics philpapers,6.247269387115853,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter hackernews,7.60741213641125,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
philpapers europarl,9.130327803870857,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
enron_emails gutenberg_pg_19,12.373698886730608,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter philpapers,43.05405847748818,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
enron_emails hackernews,50.51592209663981,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
philpapers enron_emails,104.80345203006954,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
