dataset,version,validation_domain,rmse,bias,spearman
test_60m,v2,github,2.5531254801579184,2.5235406041825406,0.9511365587090866
test_60m,v2,stackexchange,1.6983554787957442,1.6812033921694014,0.954358834973678
test_60m,v2,gutenberg_pg_19,0.9993788384954307,0.9895264452448831,0.9557550354772256
test_60m,v2,pile_cc,1.0926087414860033,1.0863713207376202,0.9429388876173036
test_60m,v2,ubuntu_irc,2.0502989940523166,2.008312074665122,0.8831111238269626
test_60m,v2,hackernews,1.0045465954739012,0.9954471076927194,0.9156314373998626
test_60m,v2,pubmed_abstracts,1.3901905326561275,1.3786381937668837,0.9572148947127487
test_60m,v2,uspto_backgrounds,1.4020909160299089,1.3946464598870254,0.9561162451361865
test_60m,v3_additive_clr_spline,arxiv,1.7034671079027612,1.660230595521564,0.9644362268253603
test_60m,v3_additive_clr_spline,freelaw,1.3593187585722604,1.3480011020920768,0.9846560997940029
test_60m,v3_additive_clr_spline,pubmed_central,1.7348097323636538,1.7038763275320536,0.9719486724650949
test_60m,v3_additive_clr_spline,wikipedia_en,1.3604465132018382,1.3538601682914142,0.9794210631723504
test_60m,v3_additive_clr_spline,dm_mathematics,1.5356662568505772,1.277752244682877,0.918945267795834
test_60m,v3_additive_clr_spline,github,2.485933968390557,2.4538435335318995,0.9513840409704736
test_60m,v3_additive_clr_spline,stackexchange,1.6490794584218806,1.626936036300041,0.957236352712291
test_60m,v3_additive_clr_spline,gutenberg_pg_19,0.9806737362559168,0.9711245120708153,0.9642652780956739
test_60m,v3_additive_clr_spline,pile_cc,1.072591058870558,1.0685664815001845,0.9626451991302356
test_60m,v3_additive_clr_spline,ubuntu_irc,1.9956986294962853,1.9579073176167823,0.9355365930418859
test_60m,v3_additive_clr_spline,hackernews,0.9832467383611735,0.9770542555138829,0.9634598878461887
test_60m,v3_additive_clr_spline,pubmed_abstracts,1.3545659902794194,1.3424792506038976,0.9627868219272144
test_60m,v3_additive_clr_spline,uspto_backgrounds,1.3891415657169996,1.3835363501014961,0.9701876859693291
test_1B,v2,arxiv,2.164819269078688,2.1500142513615925,0.7660714285714285
test_1B,v2,freelaw,2.6475923030382296,2.6404497047296385,0.9195970695970695
test_1B,v2,pubmed_central,2.3618666377801736,2.354481870532074,0.7862637362637362
test_1B,v2,wikipedia_en,2.8901516980738773,2.8871663253240527,0.955448717948718
test_1B,v2,dm_mathematics,2.3106728350407946,1.8942498060343815,0.9301739926739926
test_1B,v2,github,3.278835847870225,3.2636801311039636,0.8749084249084248
test_1B,v2,stackexchange,2.772809561605558,2.762234346632223,0.9050824175824175
test_1B,v2,gutenberg_pg_19,2.434462716350894,2.4321842247355656,0.9055860805860804
test_1B,v2,pile_cc,2.4563641111658323,2.4553745674186462,0.8110805860805859
test_1B,v2,ubuntu_irc,3.955854321675384,3.9098375874036364,0.8739010989010989
test_1B,v2,hackernews,2.1514518233156643,2.1493868581725293,0.8338369963369963
test_1B,v2,pubmed_abstracts,2.63635823680473,2.632807507522064,0.8816391941391939
test_1B,v2,uspto_backgrounds,2.5147529372265707,2.5096195542546225,0.9530677655677654
test_1B,v3_additive_clr_spline,arxiv,2.1824403930611114,2.1607050481769177,0.7899725274725273
test_1B,v3_additive_clr_spline,freelaw,2.6748245060702396,2.6653036730176165,0.9379578754578753
test_1B,v3_additive_clr_spline,pubmed_central,2.4584652769266513,2.4532773031854345,0.8042124542124541
test_1B,v3_additive_clr_spline,wikipedia_en,2.8888732806385184,2.8838863470013854,0.9669871794871795
test_1B,v3_additive_clr_spline,dm_mathematics,2.4387178395538482,2.05783824792688,0.9236721611721611
test_1B,v3_additive_clr_spline,github,3.399046061825347,3.3821141454579724,0.8601190476190474
test_1B,v3_additive_clr_spline,stackexchange,2.8237502164597963,2.811111680192746,0.9240384615384614
test_1B,v3_additive_clr_spline,gutenberg_pg_19,2.463827878458494,2.4608700417861815,0.8517857142857141
test_1B,v3_additive_clr_spline,pile_cc,2.4417107733865167,2.4403861437698873,0.8604395604395604
test_1B,v3_additive_clr_spline,ubuntu_irc,3.877322889861621,3.8397205970021804,0.8720238095238094
test_1B,v3_additive_clr_spline,hackernews,2.142238357506965,2.1397689436632525,0.7760073260073259
test_1B,v3_additive_clr_spline,pubmed_abstracts,2.6992035369761465,2.6944689810580633,0.864606227106227
test_1B,v3_additive_clr_spline,uspto_backgrounds,2.563281840564639,2.557622360166559,0.9676739926739927
est_10b,v2,arxiv,3.4315703559684074,3.354006748984927,0.8689996159754225
est_10b,v2,freelaw,3.47328714263838,3.435557859915122,0.8112039170506913
est_10b,v2,pubmed_central,3.500920519721535,3.4438881240106816,0.8001152073732719
est_10b,v2,wikipedia_en,3.8521295887442055,3.832860934798393,0.4906991816693207
est_10b,v2,dm_mathematics,2.8882502971667936,2.7377345179476134,0.9013536866359447
est_10b,v2,github,3.6322105696160047,3.561572389042797,0.8223886328725039
est_10b,v2,stackexchange,3.5543681188683443,3.5071636363722627,0.7049335750024592
est_10b,v2,gutenberg_pg_19,3.56441178981393,3.547060243797586,0.5383064516129032
est_10b,v2,pile_cc,3.8027062815791943,3.7920789598248636,0.2778897849462366
est_10b,v2,ubuntu_irc,4.5191374859479305,4.468391824141629,0.7504800307219662
est_10b,v2,hackernews,3.608394765619282,3.5956519013816077,0.21010944700460832
est_10b,v2,pubmed_abstracts,3.6144304255158692,3.5924061264040494,0.5016801075268817
est_10b,v2,uspto_backgrounds,3.4198751339282554,3.397590495277347,0.5476016177623803
est_10b,v3_additive_clr_spline,arxiv,3.4318987195740047,3.337123912087564,0.8283890168970814
est_10b,v3_additive_clr_spline,freelaw,3.4904501035351463,3.443465956492742,0.7540322580645161
est_10b,v3_additive_clr_spline,pubmed_central,3.5064651886476934,3.4344414437043853,0.7590725806451614
est_10b,v3_additive_clr_spline,wikipedia_en,3.863087733212762,3.8390857165504713,0.3356215347917291
est_10b,v3_additive_clr_spline,dm_mathematics,2.9353949351508586,2.750112705414882,0.8269969278033795
est_10b,v3_additive_clr_spline,github,3.688491779400801,3.6087810083606913,0.7494719662058371
est_10b,v3_additive_clr_spline,stackexchange,3.5865577911169177,3.5304730399225988,0.6062380741372869
est_10b,v3_additive_clr_spline,gutenberg_pg_19,3.5743892623472293,3.555269505626059,0.48463901689708144
est_10b,v3_additive_clr_spline,pile_cc,3.806352711934324,3.792846403490389,0.11170314900153609
est_10b,v3_additive_clr_spline,ubuntu_irc,4.552608640755511,4.482713260290733,0.5984543010752689
est_10b,v3_additive_clr_spline,hackernews,3.6143203668204595,3.59609801575911,0.03489823348694316
est_10b,v3_additive_clr_spline,pubmed_abstracts,3.6202624359896367,3.5882427076942753,0.3712557603686636
est_10b,v3_additive_clr_spline,uspto_backgrounds,3.431150882620995,3.4054076587392133,0.46901964552683206
est_70b,v2,arxiv,3.801790799041569,3.717428971207149,0.820468509984639
est_70b,v2,freelaw,3.84660829707222,3.805651510708772,0.7496639784946237
est_70b,v2,pubmed_central,3.8721435085059257,3.811688124010682,0.6971966205837173
est_70b,v2,wikipedia_en,4.265880986098711,4.2464228395602985,0.410810291858679
est_70b,v2,dm_mathematics,3.194864205521051,3.029520232233327,0.8995295698924732
est_70b,v2,github,4.018961774782332,3.9437406430110524,0.7391993087557605
est_70b,v2,stackexchange,3.9319392878473582,3.8824303030389276,0.5681231774023905
est_70b,v2,gutenberg_pg_19,3.9483705114215297,3.930672942210285,0.45900537634408606
est_70b,v2,pile_cc,4.211601587603652,4.20150435665026,0.22215821812596004
est_70b,v2,ubuntu_irc,5.003817503137478,4.949444205094013,0.658754065356401
est_70b,v2,hackernews,3.9954868197750466,3.9829471394768454,0.1072388632872504
est_70b,v2,pubmed_abstracts,4.0010367562912315,3.978748983546906,0.3884888632872504
est_70b,v2,uspto_backgrounds,3.7864977659197474,3.763633352420205,0.47653793547557677
est_70b,v3_additive_clr_spline,arxiv,3.801029972905852,3.700546134309786,0.7697772657450077
est_70b,v3_additive_clr_spline,freelaw,3.863239269143373,3.8135596072863924,0.6826036866359447
est_70b,v3_additive_clr_spline,pubmed_central,3.8772151187211352,3.8022414437043848,0.6477054531490015
est_70b,v3_additive_clr_spline,wikipedia_en,4.276282905429971,4.252647621312376,0.24486367127496161
est_70b,v3_additive_clr_spline,dm_mathematics,3.243474899168955,3.041898419700595,0.8158602150537635
est_70b,v3_additive_clr_spline,github,4.074487435892862,3.990949262328944,0.6490495391705069
est_70b,v3_additive_clr_spline,stackexchange,3.963454773753178,3.905739706589265,0.4638832551607943
est_70b,v3_additive_clr_spline,gutenberg_pg_19,3.957996789112912,3.9388822040387566,0.39943356374808
est_70b,v3_additive_clr_spline,pile_cc,4.214869465456393,4.202271800315787,0.055827572964669746
est_70b,v3_additive_clr_spline,ubuntu_irc,5.036641520910365,4.963765641243114,0.4812365740142767
est_70b,v3_additive_clr_spline,hackernews,4.001004989963113,3.9833932538543477,-0.07334869431643626
est_70b,v3_additive_clr_spline,pubmed_abstracts,4.0062286947248555,3.9745855648371324,0.2474078341013825
est_70b,v3_additive_clr_spline,uspto_backgrounds,3.797314417575729,3.7714505158820706,0.39440270755186246
