dataset,version,validation_domain,rmse,mae,bias,spearman
test_60m,v1,pile_cc,1.1036537696249935,1.0907755280245084,1.0907755280245084,0.8632746337834744
test_60m,v1,ubuntu_irc,2.0689156725272477,2.017839289800381,2.017839289800381,0.8641865987640192
test_60m,v1,hackernews,1.0203347163753764,1.0045411529842927,1.0045411529842927,0.8508368619821468
test_60m,v1,pubmed_abstracts,1.4172201275810725,1.3895134303409122,1.3895134303409122,0.8997575246051727
test_60m,v1,uspto_backgrounds,1.4207585819046118,1.4077784818850398,1.4077784818850398,0.9086861982146943
test_60m,v2,arxiv,1.7288176448361698,1.6877827525407834,1.6877827525407834,0.940248054474708
test_60m,v2,freelaw,1.3966730555924785,1.3815467058784683,1.3815467058784683,0.9639090753032731
test_60m,v2,pubmed_central,1.7529498521962368,1.7257499483679497,1.7257499483679497,0.9529933909361409
test_60m,v2,wikipedia_en,1.3923967374658208,1.3840146745869344,1.3840146745869344,0.961282616159304
test_60m,v2,dm_mathematics,1.5658683899041175,1.3758029121715891,1.3377438780683462,0.896289196612497
test_60m,v2,github,2.5531254801579184,2.5235406041825406,2.5235406041825406,0.9511365587090866
test_60m,v2,stackexchange,1.6983554787957442,1.6812033921694014,1.6812033921694014,0.954358834973678
test_60m,v2,gutenberg_pg_19,0.9993788384954307,0.9895264452448831,0.9895264452448831,0.9557550354772256
test_60m,v2,pile_cc,1.0926087414860033,1.0863713207376202,1.0863713207376202,0.9429388876173036
test_60m,v2,ubuntu_irc,2.0502989940523166,2.008312074665122,2.008312074665122,0.8831111238269626
test_60m,v2,hackernews,1.0045465954739012,0.9954471076927194,0.9954471076927194,0.9156314373998626
test_60m,v2,pubmed_abstracts,1.3901905326561275,1.3786381937668837,1.3786381937668837,0.9572148947127487
test_60m,v2,uspto_backgrounds,1.4020909160299089,1.3946464598870254,1.3946464598870254,0.9561162451361865
test_1B,v1,arxiv,2.401867722314454,2.384924079255527,2.384924079255527,0.8294413919413918
test_1B,v1,freelaw,2.9307090993340026,2.923467532029826,2.923467532029826,0.9209249084249084
test_1B,v1,pubmed_central,2.7058364951296427,2.7000934959681127,2.7000934959681127,0.8423076923076923
test_1B,v1,wikipedia_en,3.0654071349497096,3.060795790555405,3.060795790555405,0.9564560439560438
test_1B,v1,dm_mathematics,2.7923483292897715,2.607674870642608,2.607674870642608,0.944047619047619
test_1B,v1,github,3.6924049942849004,3.6783403813282667,3.6783403813282667,0.8355311355311353
test_1B,v1,stackexchange,3.0611665086469144,3.049221175911484,3.049221175911484,0.9144688644688644
test_1B,v1,gutenberg_pg_19,2.6586085594195628,2.6566165800365544,2.6566165800365544,0.9306776556776555
test_1B,v1,pile_cc,2.585884608570426,2.5846877543664757,2.5846877543664757,0.7694139194139193
test_1B,v1,ubuntu_irc,4.389010894735931,4.355538835816864,4.355538835816864,0.8971611721611721
test_1B,v1,hackernews,2.3647012253780795,2.3627963711781526,2.3627963711781526,0.8248626373626373
test_1B,v1,pubmed_abstracts,2.800388493018298,2.794179705879018,2.794179705879018,0.9061813186813185
test_1B,v1,uspto_backgrounds,2.6963020459273968,2.6904896505430838,2.6904896505430838,0.9750915750915751
test_1B,v2,arxiv,2.164819269078688,2.1500142513615925,2.1500142513615925,0.7660714285714285
test_1B,v2,freelaw,2.6475923030382296,2.6404497047296385,2.6404497047296385,0.9195970695970695
test_1B,v2,pubmed_central,2.3618666377801736,2.354481870532074,2.354481870532074,0.7862637362637362
test_1B,v2,wikipedia_en,2.8901516980738773,2.8871663253240527,2.8871663253240527,0.955448717948718
test_1B,v2,dm_mathematics,2.3106728350407946,1.9158773382272207,1.8942498060343815,0.9301739926739926
test_1B,v2,github,3.278835847870225,3.2636801311039636,3.2636801311039636,0.8749084249084248
test_1B,v2,stackexchange,2.772809561605558,2.762234346632223,2.762234346632223,0.9050824175824175
test_1B,v2,gutenberg_pg_19,2.434462716350894,2.4321842247355656,2.4321842247355656,0.9055860805860804
test_1B,v2,pile_cc,2.4563641111658323,2.4553745674186462,2.4553745674186462,0.8110805860805859
test_1B,v2,ubuntu_irc,3.955854321675384,3.9098375874036364,3.9098375874036364,0.8739010989010989
test_1B,v2,hackernews,2.1514518233156643,2.1493868581725293,2.1493868581725293,0.8338369963369963
test_1B,v2,pubmed_abstracts,2.63635823680473,2.632807507522064,2.632807507522064,0.8816391941391939
test_1B,v2,uspto_backgrounds,2.5147529372265707,2.5096195542546225,2.5096195542546225,0.9530677655677654
est_10b,v1,arxiv,3.361797973189902,3.296133627736889,3.296133627736889,0.8919450844854071
est_10b,v1,freelaw,3.485532320198649,3.449395434785327,3.449395434785327,0.8549827188940091
est_10b,v1,pubmed_central,3.472860904431599,3.421147134106018,3.421147134106018,0.8575748847926268
est_10b,v1,wikipedia_en,3.8578099709641904,3.842736885479562,3.842736885479562,0.5327988864554677
est_10b,v1,dm_mathematics,2.8513215207550946,2.7584268329290236,2.7451730930101346,0.8967933947772658
est_10b,v1,github,3.598996839505878,3.54120881051925,3.54120881051925,0.8275729646697388
est_10b,v1,stackexchange,3.5265152757499436,3.4888252715329733,3.4888252715329733,0.7090618887546017
est_10b,v1,gutenberg_pg_19,3.565052807930461,3.553239513516529,3.553239513516529,0.6184715821812596
est_10b,v1,pile_cc,3.808020899821981,3.7994781211196686,3.7994781211196686,0.37946428571428575
est_10b,v1,ubuntu_irc,4.479466052087408,4.437928898512652,4.437928898512652,0.8641033026113671
est_10b,v1,hackernews,3.59858951953244,3.588989332579624,3.588989332579624,0.3726478494623656
est_10b,v1,pubmed_abstracts,3.6135769717539175,3.591292058040876,3.591292058040876,0.5750768049155146
est_10b,v1,uspto_backgrounds,3.4329584130155992,3.4145674270573085,3.4145674270573085,0.6531856421558369
est_10b,v2,arxiv,3.4315703559684074,3.354006748984927,3.354006748984927,0.8689996159754225
est_10b,v2,freelaw,3.47328714263838,3.435557859915122,3.435557859915122,0.8112039170506913
est_10b,v2,pubmed_central,3.500920519721535,3.4438881240106816,3.4438881240106816,0.8001152073732719
est_10b,v2,wikipedia_en,3.8521295887442055,3.832860934798393,3.832860934798393,0.4906991816693207
est_10b,v2,dm_mathematics,2.8882502971667936,2.7377345179476134,2.7377345179476134,0.9013536866359447
est_10b,v2,github,3.6322105696160047,3.561572389042797,3.561572389042797,0.8223886328725039
est_10b,v2,stackexchange,3.5543681188683443,3.5071636363722627,3.5071636363722627,0.7049335750024592
est_10b,v2,gutenberg_pg_19,3.56441178981393,3.547060243797586,3.547060243797586,0.5383064516129032
est_10b,v2,pile_cc,3.8027062815791943,3.7920789598248636,3.7920789598248636,0.2778897849462366
est_10b,v2,ubuntu_irc,4.5191374859479305,4.468391824141629,4.468391824141629,0.7504800307219662
est_10b,v2,hackernews,3.608394765619282,3.5956519013816077,3.5956519013816077,0.21010944700460832
est_10b,v2,pubmed_abstracts,3.6144304255158692,3.5924061264040494,3.5924061264040494,0.5016801075268817
est_10b,v2,uspto_backgrounds,3.4198751339282554,3.397590495277347,3.397590495277347,0.5476016177623803
est_70b,v1,arxiv,3.7303364519853286,3.6595558499591103,3.6595558499591103,0.8497983870967741
est_70b,v1,freelaw,3.8591013723793184,3.8194890855789767,3.8194890855789767,0.8027073732718893
est_70b,v1,pubmed_central,3.8440856555940726,3.788947134106018,3.788947134106018,0.7777457757296466
est_70b,v1,wikipedia_en,4.271717862070492,4.256298790241468,4.256298790241468,0.45463709677419356
est_70b,v1,dm_mathematics,3.152400597176021,3.0461046107068017,3.0369588072958495,0.8964573732718893
est_70b,v1,github,3.9850649983715996,3.9233770644875046,3.9233770644875046,0.7501920122887866
est_70b,v1,stackexchange,3.903843040524378,3.86409193819964,3.86409193819964,0.5855485017282941
est_70b,v1,gutenberg_pg_19,3.9491546250643084,3.936852211929227,3.936852211929227,0.5485311059907835
est_70b,v1,pile_cc,4.217065442604358,4.208903517945066,4.208903517945066,0.33126920122887865
est_70b,v1,ubuntu_irc,4.964191900318844,4.918981279465035,4.918981279465035,0.8173581192759192
est_70b,v1,hackernews,3.985911901465307,3.976284570674862,3.976284570674862,0.281634024577573
est_70b,v1,pubmed_abstracts,4.000155352985249,3.9776349151837334,3.9776349151837334,0.4815668202764978
est_70b,v1,uspto_backgrounds,3.799751355679587,3.7806102842001663,3.7806102842001663,0.5907879895132391
est_70b,v2,arxiv,3.801790799041569,3.717428971207149,3.717428971207149,0.820468509984639
est_70b,v2,freelaw,3.84660829707222,3.805651510708772,3.805651510708772,0.7496639784946237
est_70b,v2,pubmed_central,3.8721435085059257,3.811688124010682,3.811688124010682,0.6971966205837173
est_70b,v2,wikipedia_en,4.265880986098711,4.2464228395602985,4.2464228395602985,0.410810291858679
est_70b,v2,dm_mathematics,3.194864205521051,3.029520232233327,3.029520232233327,0.8995295698924732
est_70b,v2,github,4.018961774782332,3.9437406430110524,3.9437406430110524,0.7391993087557605
est_70b,v2,stackexchange,3.9319392878473582,3.8824303030389276,3.8824303030389276,0.5681231774023905
est_70b,v2,gutenberg_pg_19,3.9483705114215297,3.930672942210285,3.930672942210285,0.45900537634408606
est_70b,v2,pile_cc,4.211601587603652,4.20150435665026,4.20150435665026,0.22215821812596004
est_70b,v2,ubuntu_irc,5.003817503137478,4.949444205094013,4.949444205094013,0.658754065356401
est_70b,v2,hackernews,3.9954868197750466,3.9829471394768454,3.9829471394768454,0.1072388632872504
est_70b,v2,pubmed_abstracts,4.0010367562912315,3.978748983546906,3.978748983546906,0.3884888632872504
est_70b,v2,uspto_backgrounds,3.7864977659197474,3.763633352420205,3.763633352420205,0.47653793547557677
